ID,CooldownGroup,Name,ShortDescription,Description,Icon,ActionID,PrecastActionID,FinishActionID,PrecastFx,CastFx,FlyFx,ExplodeFx,BuffFx,ChainingSourceFx,ChainingTargetFx,ChainingFx,Type,Style,FactionID,BookID,CanDirectlyStudy,RequireLevel,RequireWeapon,IsDamageSkill,CastRange,AttackRadius,AnimationDuration,TargetType,ProgressTime,MissileSpeed,MissileCount,FixedHitRate,FixedCritRate,ShowSkillNameWhenUse,Property,Tag,ProgressFluction
0,0,Tấn công,Tấn công một mục tiêu liên tục,Trên giang hồ lưu truyền rộng rãi những chiêu thức võ công ai ai cũng muốn biết,TaskTools2_13,162,-1,-1,,,,,,,,,Active,MeleeSingleTarget,-1,-1,true,1,false,true,3,0,1200,Enemy,0,300,1,-1,-1,false,empty,,20
1,0,Tấn công Pet,Tấn công một mục tiêu liên tục,Kỹ năng tấn công thường của trân thú,TaskTools2_13,162,-1,-1,,,,"0,ThoiTamChuong",,,,,Active,MeleeSingleTarget,-1,-1,true,1,false,true,20,0,1200,Enemy,0,300,1,-1,-1,false,empty,,20
2,100,Đại Lý Hồi Thành Phù,Hồi thành phù,"Giang hồ rộng lớn, nguy hiểm, Đại Lý Thành chính là nơi các vị anh hùng nghỉ ngơi lấy lại sức. Sử dụng nhanh chóng quay trở về Ngũ Hoa Đàn tại Đại Lý",TaskTools4_1,-1,118,-1,,,,,,,,,Active,SingleTargetBuff,-1,-1,true,1,false,false,0,0,300,Self,10000,300,1,-1,-1,false,newbie_dali_portal,NO_RESET,20
3,-1,Bảo Hộ,Bảo hộ,"Trạng thái bảo hộ, không chịu sát thương, khống chế, và di chuyển sẽ mất trạng thái",Buff5_5,-1,-1,-1,,,,,,,,,Active,SingleTargetBuff,-1,-1,true,1,false,false,0,0,300,Self,10000,300,1,-1,-1,false,protection,,20
4,40000,Lạc Mã Tiễn,Tấn công một mục tiêu,"Kỹ năng khống chế mạnh mẽ, tác dụng lên đối thủ là người chơi khác đang trong trạng thái cưỡi, đánh bay và gây hôn mê trong thời gian ngắn",CommonLiveSkill2_2,282,-1,-1,,"0,LacMaTien",,"0,Exp_LacMaTien",,,,,Active,MeleeSingleTarget,-1,-1,false,1,false,false,20,0,300,EnemyPlayer,0,600,1,100,-1,true,luomajian,NO_RESET,20
5,40000,Xuyên Vân Tiễn,Tấn công một mục tiêu,"Kỹ năng khống chế mạnh mẽ, tác dụng lên đối thủ là người chơi khác đang trong trạng thái cưỡi, đánh bay và gây hôn mê trong thời gian ngắn",CommonLiveSkill2_2,282,-1,-1,,,,,,,,,Active,MeleeSingleTarget,-1,-1,false,1,false,false,20,0,300,EnemyPlayer,0,600,1,-1,-1,true,chuanyunjian,NO_RESET,20
6,-1,Lôi đài tỷ võ - Khán giả,Bảo hộ,"Trạng thái khán giả lôi đài tỷ võ, không thể tấn công, sử dụng kỹ năng, tàng hình với toàn bộ người chơi xung quanh.",Buff5_6,-1,-1,-1,,,,,,,,,Active,SingleTargetBuff,-1,-1,true,1,false,false,0,0,300,Self,0,300,1,-1,-1,false,challenge_watcher,,20
7,-1,Cương Thể,Bảo hộ,Miễn dịch toàn bộ hiệu ứng xấu lên bản thân.,Buff4_16,-1,-1,-1,,,,,,,,,Active,SingleTargetBuff,-1,-1,true,1,false,false,0,0,300,Self,0,300,1,-1,-1,false,boss_immune_all_state,,20
8,-1,Hứa Nguyện Chúc Phúc,Chúc phúc,Trạng thái chúc phúc từ Hứa Nguyện Thụ. Tăng cường tất cả thuộc tính,Buff6_11,-1,-1,-1,,,,,,,,,Active,SingleTargetBuff,-1,-1,true,1,false,false,0,0,300,Self,-1,300,1,-1,-1,false,wisdom_tree_blessing,,20
9,-1,Cường Thể,Bảo hộ,Miễn dịch toàn bộ hiệu ứng xấu lên bản thân.,Buff4_16,-1,-1,-1,,,,,,,,,Active,SingleTargetBuff,-1,-1,true,1,false,false,0,0,1200,Self,0,300,1,-1,-1,false,boss_immune_all_state_1,,20
10,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương ngoại công lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_physical,NO_RESET,20
11,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương nội công lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_magical,NO_RESET,20
12,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương băng công lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_ice,NO_RESET,20
13,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương hỏa công lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_fire,NO_RESET,20
14,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương huyền công lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_light,NO_RESET,20
15,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương độc công lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_poison,NO_RESET,20
