RowIndex,Tag,ID,Type,Name,Icon,SetID,Level,BoundRule,Identifiable,MinIdentifiedRate,BasePrice,SellPrice,DurationHour,ExtraHint,Description,Text,ChildrenJSON
1,PetEquip,70000000,1000,Linh Thú Trảo,PetEquipClaw1_1,-1,75,1,false,0,1000,800,-1,,"Trang bị trân thú đơn giản, được chế từ thú cốt có sức mạnh. Hỗn nhiên thiên thành, sung mãn linh tính.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""517""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""517""}}]"
2,PetEquip,70000001,1001,Linh Thú Khôi,PetEquipHat1_1,-1,75,1,false,0,1000,800,-1,,"Trang bị trân thú đơn giản, được chế từ thú cốt có sức mạnh. Hỗn nhiên thiên thành, sung mãn linh tính.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""517""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""517""}}]"
3,PetEquip,70000002,1002,Linh Thú Giáp,PetEquipCloth1_1,-1,75,1,false,0,1000,800,-1,,"Trang bị trân thú đơn giản, được chế từ thú cốt có sức mạnh. Hỗn nhiên thiên thành, sung mãn linh tính.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""517""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""517""}}]"
4,PetEquip,70000003,1003,Linh Thú Hoàn,PetEquipChaplet1_1,-1,75,1,false,0,1000,800,-1,,"Trang bị trân thú đơn giản, được chế từ thú cốt có sức mạnh. Hỗn nhiên thiên thành, sung mãn linh tính.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""517""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_dodgebase"",""Value"":""232""}}]"
5,PetEquip,70000004,1004,Linh Thú Sức,PetEquipAmulet1_1,-1,75,1,false,0,1000,800,-1,,"Trang bị trân thú đơn giản, được chế từ thú cốt có sức mạnh. Hỗn nhiên thiên thành, sung mãn linh tính.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""517""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""517""}}]"
6,PetEquip,70001001,1000,Mã Đạp Sô Vân Thú Trảo,PetEquipClaw1_2,1,45,1,true,0,1000,800,-1,,"Mang mang thảo nguyên, tuấn mã bôn đằng, vật này vì vậy mà có tên.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""373""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""373""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""20"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""8"",""MinStar"":""9""}}]"
7,PetEquip,70001002,1001,Mã Đạp Sô Vân Thú Khôi,PetEquipHat1_2,1,45,1,true,0,1000,800,-1,,"Mang mang thảo nguyên, tuấn mã bôn đằng, vật này vì vậy mà có tên.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""138""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""138""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""20"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""8"",""MinStar"":""9""}}]"
8,PetEquip,70001003,1002,Mã Đạp Sô Vân Thú Giáp,PetEquipCloth1_2,1,45,1,true,0,1000,800,-1,,"Mang mang thảo nguyên, tuấn mã bôn đằng, vật này vì vậy mà có tên.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""369""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""369""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""20"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""8"",""MinStar"":""9""}}]"
9,PetEquip,70001004,1003,Mã Đạp Sô Vân Thú Hoàn,PetEquipChaplet1_2,1,45,1,true,0,1000,800,-1,,"Mang mang thảo nguyên, tuấn mã bôn đằng, vật này vì vậy mà có tên.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""340""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""20"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""8"",""MinStar"":""9""}}]"
10,PetEquip,70001005,1004,Mã Đạp Sô Vân Thú Sức,PetEquipAmulet1_2,1,45,1,true,0,1000,800,-1,,"Mang mang thảo nguyên, tuấn mã bôn đằng, vật này vì vậy mà có tên.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""170""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_dodgebase"",""Value"":""56""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""30"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""20"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""8"",""MinStar"":""9""}}]"
