RowIndex,Tag,ID,FactionID,RequireLevel,Name,Icon,Description,Type,CanDirectlyStudy,Order,Text,ChildrenJSON
1,Book,1,0,10,Kim Cang Kinh,XinFa1_1,"Tên đầy đủ là kinh Kim Cương đã ghi nhận lại cậu chuyện của Phật Đà Sá bảo vệ quốc gia, trong sách kinh Kim Cương có ẩn chứa một lực lượng hàn ma, sau khi tu luyện xong có thể nâng cao tỉ lệ chính xác của đệ tử Thiếu Lâm.",6,true,1,,
2,Book,2,0,20,Pháp Hoa Kinh,XinFa1_2,"Tên đầy đủ là Miêu Pháp Liên Hoa Kinh, đã ghi lại bí mật của Phật Như Lai. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử Thiếu Lâm.",4,true,2,,
3,Book,3,0,20,Đại Quang Minh Kinh,XinFa1_3,Một trong 3 loại sách kinh của Thiên Trúc Trấn Quốc đã ghi lại phật pháp huyền bí của Tây Thiên. Sau khi tu luyện có thể nâng cao lực sinh mệnh của đệ tử Thiếu Lâm.,0,true,3,,
4,Book,4,0,10,Đạt Ma Tâm Kinh,XinFa1_4,Tâm kinh bí truyền của Bồ Đề Đạt Ma đã ghi nhận lại đạo lý tỉnh ngộ của phật môn. Sau khi tu luyện có thể nâng cao ngoại công lực phòng ngự của đệ tử Thiếu Lâm.,7,true,4,,
5,Book,5,0,10,Long Thụ Tâm Kinh,XinFa1_5,Tâm kinh bí truyền của Long Thụ Bồ Tát đã ghi nhận lại đạo lý độ lượng của phật môn. Sau khi tu luyện có thể nâng cao ngoại công công kích của đệ tử Thiếu Lâm.,2,true,5,,
6,Book,6,0,20,Thích Ca Kinh,XinFa1_6,"Là cuốn sách kinh điển đã ghi nhận lại những lời nói của Phật Đà lúc còn sống, do đại tử Thích Diệp bí truyền cho thế hệ sau, được cho là cuốn sách kinh cao thượng nhất của phật môn. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử Thiếu Lâm.",1,true,6,,
7,Book,7,1,10,Thất Táng Quyền,XinFa1_7,"Lẽ ra đây là trấn phái chi bảo của phái Không Động, nhưng đã bị thế hệ trước của hộ giáo pháp vương tranh đoạt thành Minh Giáo, công phu vô cùng bá đạo. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Minh Giáo.",6,true,1,,
8,Book,8,1,20,Quỳ Hoa Bí Cấp,XinFa1_8,"Là cuốn sách do các tiền bối của đại nội cao thủ tự lập ra, mười mấy năm này cuốn sách ấy được cho là trấn giáo chi bảo của phái Minh Giáo. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Minh Giáo.",4,true,2,,
9,Book,9,1,20,Thiên Địa Na Di Pháp,XinFa1_9,"Là trấn giáo chi bảo của Ba Tư Minh Giáo, có thể kích hoạt được lực lượng tiềm năng ẩn chứa bên trong của cơ thể con người. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Minh Giáo.",0,true,3,,
10,Book,10,1,10,Kích Lưu Đại Pháp,XinFa1_10,"Là cuốn tâm pháp tu luyện trong vòng 72 ngày của phái Minh Giáo, khiến khí huyết bị đóng băng và nghịch chuyển. Sau khi tu luyện có thể nâng cao ngoại công lực phòng ngự của đệ tử phái Minh Giáo.",7,true,4,,
11,Book,11,1,10,Liệt Diệm Đại pháp,XinFa1_11,"Là cuốn tâm pháp tu luyện trong vòng 72 ngày của phái Minh Giáo, khiến máu chảy như nham thạch, khí huyết như bị lửa đốt. Sau khi tu luyện có thể nâng cao ngoại công công kích của đệ tử phái Minh Giáo.",2,true,5,,
