RowIndex,Tag,GroupID,ID,Sex,Name,Description,ReputeID,Points,DurationHours,Text,ChildrenJSON
1,Title,1,1,1,Thiếu Lâm Hiệp Sỹ,"Đệ tử nhập môn Thiếu Lâm, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",1,0,-1,,
2,Title,1,2,1,Khôi Y Hộ Pháp,"Đệ tử sơ cấp Thiếu Lâm, có chút đóng góp cho môn phái.",1,1000,-1,,
3,Title,1,3,1,Kim Thân La Hán,"Đệ tử trung cấp Thiếu Lâm, có nhiều công lao đóng góp cho môn phái.",1,2500,-1,,
4,Title,1,4,1,Địa Tạng Bồ Tát,"Đệ tử cao cấp Thiếu Lâm, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",1,5000,-1,,
5,Title,1,5,0,Thiếu Lâm Hiệp Nữ,"Đệ tử nhập môn Thiếu Lâm, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",1,0,-1,,
6,Title,1,6,0,Bạch Y Thủ Giả,"Đệ tử sơ cấp Thiếu Lâm, có chút đóng góp cho môn phái.",1,1000,-1,,
7,Title,1,7,0,Độ Thế Quan Âm,"Đệ tử trung cấp Thiếu Lâm, có nhiều công lao đóng góp cho môn phái.",1,2500,-1,,
8,Title,1,8,0,Già Lam Bồ Tát,"Đệ tử cao cấp Thiếu Lâm, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",1,5000,-1,,
9,Title,1,11,1,Minh Giáo Hiệp Sỹ,"Đệ tử nhập môn Minh Giáo, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",2,0,-1,,
10,Title,1,12,1,Thủ Hỏa Hiệp Sỹ,"Đệ tử sơ cấp Minh Giáo, có chút đóng góp cho môn phái.",2,1000,-1,,
11,Title,1,13,1,Hộ Giáo Pháp Vương,"Đệ tử trung cấp Minh Giáo, có nhiều công lao đóng góp cho môn phái.",2,2500,-1,,
